iter	Passed	Remaining
0	57	57923
1	58	29137
2	58	19516
3	59	14700
4	59	11820
5	59	9892
6	60	8519
7	60	7492
8	60	6687
9	61	6042
10	62	5574
11	62	5138
12	62	4766
13	63	4453
14	63	4173
15	63	3927
16	64	3711
17	64	3519
18	64	3349
19	65	3194
20	65	3054
21	65	2926
22	66	2810
23	66	2707
24	66	2607
25	67	2516
26	67	2434
27	67	2356
28	68	2282
29	68	2213
30	68	2148
31	68	2086
32	69	2030
33	69	1976
34	69	1928
35	70	1882
36	70	1837
37	70	1794
38	71	1754
39	71	1715
40	71	1679
41	72	1644
42	72	1611
43	72	1579
44	73	1549
45	73	1522
46	73	1496
47	74	1472
48	74	1448
49	75	1426
50	75	1403
51	75	1379
52	76	1358
53	76	1338
54	76	1319
55	77	1300
56	77	1281
57	77	1262
58	78	1244
59	78	1226
60	78	1210
61	78	1194
62	79	1178
63	79	1163
64	79	1148
65	80	1133
66	80	1120
67	80	1108
68	81	1096
69	81	1083
70	81	1071
71	82	1058
72	82	1046
73	82	1035
74	83	1023
75	83	1012
76	83	1002
77	83	992
78	84	984
79	84	974
80	85	966
81	85	957
82	85	946
83	85	937
84	86	928
85	86	920
86	86	912
87	87	905
88	87	898
89	88	889
90	88	882
91	88	874
92	88	867
93	89	859
94	89	852
95	89	845
96	90	839
97	90	833
98	90	826
99	91	820
100	91	814
101	91	808
102	92	802
103	92	796
104	92	791
105	93	786
106	93	780
107	93	774
108	94	769
109	94	763
110	94	758
111	95	753
112	95	748
113	95	742
114	95	738
115	96	733
116	96	728
117	96	722
118	97	718
119	97	713
120	97	709
121	97	704
122	98	699
123	98	695
124	98	691
125	99	687
126	99	682
127	99	678
128	99	674
129	100	671
130	100	667
131	100	663
132	101	659
133	101	656
134	101	652
135	102	649
136	102	646
137	102	642
138	103	638
139	103	635
140	103	632
141	104	628
142	104	626
143	104	622
144	105	619
145	105	616
146	105	613
147	106	610
148	106	608
149	106	605
150	107	602
151	107	599
152	107	596
153	108	594
154	108	591
155	108	588
156	109	585
157	109	583
158	109	581
159	110	578
160	110	574
161	110	572
162	111	570
163	111	567
164	111	564
165	111	562
166	112	560
167	112	558
168	113	556
169	113	554
170	113	552
171	114	549
172	114	547
173	114	544
174	115	542
175	115	540
176	115	537
177	115	535
178	116	533
179	116	531
180	116	529
181	117	527
182	117	525
183	118	523
184	118	521
185	118	519
186	119	518
187	119	516
188	119	514
189	120	512
190	120	511
191	121	509
192	121	507
193	121	506
194	122	505
195	122	504
196	123	502
197	123	500
198	123	498
199	124	497
200	124	495
201	125	493
202	125	492
203	125	490
204	126	488
205	126	487
206	126	485
207	127	484
208	127	482
209	127	480
210	128	478
211	128	477
212	128	475
213	129	474
214	129	472
215	129	471
216	130	469
217	130	468
218	130	467
219	131	465
220	131	463
221	131	462
222	132	460
223	132	458
224	132	457
225	133	456
226	133	454
227	133	453
228	134	452
229	134	451
230	135	449
231	135	448
232	135	447
233	136	445
234	136	444
235	136	443
236	137	441
237	137	440
238	137	439
239	138	437
240	138	436
241	138	434
242	139	433
243	139	432
244	139	431
245	140	429
246	140	428
247	140	427
248	141	426
249	141	424
250	141	423
251	142	422
252	142	420
253	142	419
254	143	419
255	143	417
256	144	416
257	144	415
258	144	414
259	145	413
260	145	412
261	145	410
262	146	409
263	146	408
264	146	407
265	147	406
266	147	404
267	147	403
268	148	402
269	148	401
270	148	400
271	149	399
272	149	398
273	149	397
274	150	396
275	150	395
276	151	394
277	151	393
278	151	392
279	152	391
280	152	390
281	152	389
282	153	387
283	153	386
284	153	385
285	153	384
286	154	382
287	154	381
288	154	380
289	155	379
290	155	379
291	155	378
292	156	377
293	156	376
294	156	374
295	157	373
296	157	372
297	157	371
298	158	370
299	158	369
300	158	368
301	158	367
302	159	366
303	159	365
304	159	364
305	160	363
306	160	362
307	160	361
308	161	360
309	161	359
310	161	358
311	162	357
312	162	356
313	162	355
314	163	354
315	163	353
316	163	352
317	164	352
318	164	351
319	164	350
320	165	349
321	165	348
322	165	347
323	166	346
324	166	346
325	166	345
326	167	344
327	167	343
328	167	342
329	168	341
330	168	340
331	168	339
332	169	338
333	169	338
334	169	337
335	170	336
336	170	335
337	170	334
338	171	333
339	171	333
340	171	332
341	172	331
342	172	330
343	172	329
344	173	328
345	173	328
346	174	327
347	174	326
348	174	325
349	174	324
350	175	324
351	175	323
352	176	322
353	176	321
354	176	321
355	177	320
356	177	319
357	177	318
358	177	317
359	178	316
360	178	316
361	179	315
362	179	314
363	179	314
364	180	313
365	180	312
366	180	311
367	181	310
368	181	310
369	181	309
370	181	308
371	182	307
372	182	306
373	182	305
374	183	305
375	183	304
376	183	303
377	183	302
378	184	301
379	184	300
380	184	299
381	184	299
382	185	298
383	185	297
384	185	296
385	185	295
386	186	294
387	186	293
388	186	293
389	186	292
390	187	291
391	187	290
392	187	289
393	187	289
394	188	288
395	188	287
396	188	286
397	189	285
398	189	285
399	189	284
400	189	283
401	190	282
402	190	282
403	190	281
404	190	280
405	191	279
406	191	278
407	191	278
408	191	277
409	192	276
410	192	275
411	192	275
412	192	274
413	193	273
414	193	272
415	193	271
416	193	271
417	194	270
418	194	269
419	194	268
420	194	268
421	195	267
422	195	266
423	195	265
424	196	265
425	196	264
426	196	263
427	196	263
428	197	262
429	197	261
430	197	261
431	198	260
432	198	259
433	198	259
434	198	258
435	199	257
436	199	256
437	199	256
438	200	255
439	200	254
440	200	254
441	200	253
442	201	252
443	201	252
444	201	251
445	201	250
446	202	250
447	202	249
448	202	248
449	202	247
450	203	247
451	203	246
452	203	245
453	203	245
454	204	244
455	204	243
456	204	243
457	204	242
458	205	241
459	205	241
460	205	240
461	205	239
462	206	239
463	206	238
464	206	237
465	206	237
466	207	236
467	207	235
468	207	235
469	207	234
470	208	233
471	208	233
472	208	232
473	209	231
474	209	231
475	209	230
476	209	230
477	210	229
478	210	228
479	210	228
480	210	227
481	211	226
482	211	226
483	211	225
484	211	225
485	212	224
486	212	223
487	212	223
488	213	222
489	213	221
490	213	221
491	213	220
492	214	220
493	214	219
494	214	218
495	214	218
496	215	217
497	215	217
498	215	216
499	215	215
500	216	215
501	216	214
502	216	214
503	216	213
504	217	212
505	217	212
506	217	211
507	218	211
508	218	210
509	218	209
510	218	209
511	219	208
512	219	208
513	219	207
514	219	207
515	220	206
516	220	205
517	220	205
518	220	204
519	221	204
520	221	203
521	221	203
522	222	202
523	222	201
524	222	201
525	222	200
526	223	200
527	223	199
528	223	199
529	223	198
530	224	197
531	224	197
532	224	196
533	225	196
534	225	195
535	225	195
536	225	194
537	226	194
538	226	193
539	226	193
540	226	192
541	227	191
542	227	191
543	227	190
544	227	190
545	228	189
546	228	189
547	228	188
548	229	188
549	229	187
550	229	187
551	229	186
552	230	186
553	230	185
554	230	184
555	230	184
556	231	183
557	231	183
558	231	182
559	231	182
560	232	181
561	232	181
562	232	180
563	232	180
564	233	179
565	233	179
566	233	178
567	234	178
568	234	177
569	234	176
570	234	176
571	235	175
572	235	175
573	235	174
574	235	174
575	236	173
576	236	173
577	236	172
578	236	172
579	237	171
580	237	171
581	237	170
582	238	170
583	238	169
584	238	169
585	238	168
586	239	168
587	239	167
588	239	167
589	239	166
590	240	166
591	240	165
592	240	165
593	240	164
594	241	164
595	241	163
596	241	163
597	241	162
598	242	162
599	242	161
600	242	161
601	243	160
602	243	160
603	243	159
604	243	159
605	244	158
606	244	158
607	244	157
608	244	157
609	245	156
610	245	156
611	245	155
612	245	155
613	246	154
614	246	154
615	246	153
616	246	153
617	247	152
618	247	152
619	247	151
620	247	151
621	248	150
622	248	150
623	248	149
624	248	149
625	248	148
626	249	148
627	249	147
628	249	147
629	250	146
630	250	146
631	250	145
632	250	145
633	251	144
634	251	144
635	251	143
636	251	143
637	252	142
638	252	142
639	252	142
640	252	141
641	253	141
642	253	140
643	253	140
644	253	139
645	254	139
646	254	138
647	254	138
648	254	137
649	255	137
650	255	136
651	255	136
652	255	136
653	256	135
654	256	135
655	256	134
656	257	134
657	257	133
658	257	133
659	257	132
660	258	132
661	258	131
662	258	131
663	258	130
664	259	130
665	259	130
666	259	129
667	259	129
668	260	128
669	260	128
670	260	127
671	260	127
672	261	126
673	261	126
674	261	125
675	261	125
676	262	125
677	262	124
678	262	124
679	263	123
680	263	123
681	263	122
682	263	122
683	264	121
684	264	121
685	264	121
686	264	120
687	265	120
688	265	119
689	265	119
690	265	118
691	266	118
692	266	117
693	266	117
694	266	117
695	267	116
696	267	116
697	267	115
698	267	115
699	268	114
700	268	114
701	268	114
702	268	113
703	269	113
704	269	112
705	269	112
706	269	111
707	270	111
708	270	110
709	270	110
710	270	110
711	271	109
712	271	109
713	271	108
714	271	108
715	272	107
716	272	107
717	272	107
718	272	106
719	273	106
720	273	105
721	273	105
722	273	104
723	274	104
724	274	104
725	274	103
726	275	103
727	275	102
728	275	102
729	275	101
730	276	101
731	276	101
732	276	100
733	276	100
734	277	99
735	277	99
736	277	99
737	277	98
738	278	98
739	278	97
740	278	97
741	278	96
742	279	96
743	279	96
744	279	95
745	279	95
746	280	94
747	280	94
748	280	94
749	280	93
750	281	93
751	281	92
752	281	92
753	281	91
754	282	91
755	282	91
756	282	90
757	282	90
758	283	89
759	283	89
760	283	89
761	283	88
762	284	88
763	284	87
764	284	87
765	284	87
766	285	86
767	285	86
768	285	85
769	285	85
770	286	84
771	286	84
772	286	84
773	286	83
774	287	83
775	287	82
776	287	82
777	287	82
778	288	81
779	288	81
780	288	80
781	289	80
782	289	80
783	289	79
784	289	79
785	290	79
786	290	78
787	290	78
788	290	77
789	291	77
790	291	77
791	291	76
792	291	76
793	292	75
794	292	75
795	292	75
796	293	74
797	293	74
798	293	73
799	293	73
800	294	73
801	294	72
802	294	72
803	294	71
804	295	71
805	295	71
806	295	70
807	295	70
808	296	69
809	296	69
810	296	69
811	296	68
812	297	68
813	297	67
814	297	67
815	297	67
816	298	66
817	298	66
818	298	66
819	298	65
820	299	65
821	299	64
822	299	64
823	299	64
824	300	63
825	300	63
826	300	62
827	300	62
828	301	62
829	301	61
830	301	61
831	301	60
832	302	60
833	302	60
834	302	59
835	302	59
836	303	59
837	303	58
838	303	58
839	304	57
840	304	57
841	304	57
842	304	56
843	305	56
844	305	56
845	305	55
846	305	55
847	306	54
848	306	54
849	306	54
850	306	53
851	307	53
852	307	52
853	307	52
854	308	52
855	308	51
856	308	51
857	309	51
858	309	50
859	309	50
860	309	50
861	310	49
862	310	49
863	310	48
864	310	48
865	311	48
866	311	47
867	311	47
868	311	47
869	312	46
870	312	46
871	312	45
872	312	45
873	313	45
874	313	44
875	313	44
876	313	44
877	314	43
878	314	43
879	314	42
880	314	42
881	315	42
882	315	41
883	315	41
884	315	41
885	316	40
886	316	40
887	316	39
888	316	39
889	317	39
890	317	38
891	317	38
892	318	38
893	318	37
894	318	37
895	318	37
896	319	36
897	319	36
898	319	35
899	319	35
900	320	35
901	320	34
902	320	34
903	321	34
904	321	33
905	321	33
906	321	33
907	322	32
908	322	32
909	322	31
910	323	31
911	323	31
912	323	30
913	323	30
914	324	30
915	324	29
916	324	29
917	324	29
918	325	28
919	325	28
920	325	27
921	325	27
922	326	27
923	326	26
924	326	26
925	326	26
926	327	25
927	327	25
928	327	25
929	327	24
930	328	24
931	328	23
932	328	23
933	329	23
934	329	22
935	329	22
936	329	22
937	330	21
938	330	21
939	330	21
940	330	20
941	331	20
942	331	20
943	331	19
944	331	19
945	332	18
946	332	18
947	332	18
948	332	17
949	333	17
950	333	17
951	333	16
952	333	16
953	334	16
954	334	15
955	334	15
956	334	15
957	335	14
958	335	14
959	335	13
960	335	13
961	336	13
962	336	12
963	336	12
964	337	12
965	337	11
966	337	11
967	337	11
968	338	10
969	338	10
970	338	10
971	338	9
972	339	9
973	339	9
974	339	8
975	340	8
976	340	8
977	340	7
978	340	7
979	340	6
980	341	6
981	341	6
982	341	5
983	342	5
984	342	5
985	342	4
986	342	4
987	343	4
988	343	3
989	343	3
990	343	3
991	344	2
992	344	2
993	344	2
994	344	1
995	345	1
996	345	1
997	345	0
998	345	0
999	346	0
